subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution
jpetstore,1,seed1_solution025,0.41857033988721243,0.6666666666666666,2.0,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""5"": 3, ""6"": 1}"
jpetstore,1,seed1_solution026,0.41551592745008403,0.6617283950617284,1.9562043795620438,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
jpetstore,1,seed1_solution027,0.4022801402225272,0.6592592592592592,1.934782608695652,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""3"": 1, ""6"": 2, ""7"": 1}"
jpetstore,1,seed1_solution028,0.4033866788599302,0.6567901234567901,1.9136690647482015,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""3"": 1, ""6"": 2, ""7"": 1}"
jpetstore,1,seed1_solution029,0.40912056089010834,0.654320987654321,1.8928571428571428,5,4.8,6,4,0.25,0.0,"{""4"": 2, ""5"": 2, ""6"": 1}"
jpetstore,1,seed1_solution030,0.417201646090535,0.6518518518518519,1.872340425531915,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}"
jpetstore,1,seed1_solution031,0.38276787075140983,0.6493827160493827,1.852112676056338,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""5"": 1, ""6"": 1, ""9"": 1}"
jpetstore,1,seed1_solution032,0.389791190367322,0.6469135802469136,1.832167832167832,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""5"": 1, ""6"": 1, ""9"": 1}"
jpetstore,1,seed1_solution033,0.41095869532083545,0.6469135802469136,1.832167832167832,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 1, ""3"": 1, ""4"": 1, ""7"": 1, ""8"": 1}"
jpetstore,1,seed1_solution034,0.3890321597317482,0.6444444444444445,1.8125,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""5"": 1, ""7"": 1, ""8"": 1}"
jpetstore,1,seed1_solution035,0.4065996037189455,0.6444444444444445,1.8125,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2}"
jpetstore,1,seed1_solution036,0.40392623075750667,0.6395061728395062,1.773972602739726,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
jpetstore,1,seed1_solution037,0.36502667276329825,0.6345679012345679,1.7364864864864864,4,6.0,7,4,0.2916666666666667,0.0,"{""4"": 1, ""6"": 1, ""7"": 2}"
jpetstore,1,seed1_solution038,0.3904557232129248,0.6345679012345679,1.7364864864864864,5,4.8,5,4,0.20833333333333334,0.0,"{""4"": 1, ""5"": 4}"
jpetstore,1,seed1_solution039,0.3877244322511816,0.6320987654320988,1.7181208053691275,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
jpetstore,1,seed1_solution040,0.38797134583142806,0.6296296296296297,1.7,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""5"": 3, ""6"": 1}"
jpetstore,1,seed1_solution041,0.3808687700045725,0.6271604938271605,1.6821192052980132,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""4"": 1, ""7"": 1, ""9"": 1}"
jpetstore,1,seed1_solution042,0.37959152568206056,0.6246913580246913,1.6644736842105263,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""4"": 1, ""8"": 2}"
jpetstore,1,seed1_solution043,0.3902362444749276,0.6123456790123457,1.5796178343949046,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 1, ""3"": 1, ""4"": 1, ""7"": 1, ""8"": 1}"
jpetstore,1,seed1_solution044,0.36755982319768365,0.6098765432098765,1.5632911392405062,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
