subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
xerces,org.apache.xerces.impl.dv.xs.QNameDV$XQName,73,32768,false,40,24,0,false,false
xerces,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,61,32768,false,38,14,0,false,false
xerces,org.apache.xerces.impl.dv.xs.SchemaDateTimeException,20,32768,false,9,2,0,false,false
xerces,org.apache.xerces.impl.dv.xs.StringDV,40,32768,false,26,5,0,false,false
xerces,org.apache.xerces.impl.dv.xs.TimeDV,112,32768,false,56,47,0,false,false
xerces,org.apache.xerces.impl.dv.xs.TypeValidator,128,32768,false,88,31,0,false,false
xerces,org.apache.xerces.impl.dv.xs.TypeValidator$1,42,32768,false,15,18,0,false,false
xerces,org.apache.xerces.impl.dv.xs.UnionDV,40,32768,false,26,5,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,1414,32768,false,789,616,342,false,true
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$1,124,32768,false,89,26,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$2,53,32768,false,33,11,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$3,57,32768,false,33,15,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$4,124,32768,false,89,26,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$AbstractObjectList,47,32768,false,27,11,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$ValidationContextImpl,142,32768,false,100,33,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSFacetImpl,143,32768,false,87,47,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSMVFacetImpl,115,32768,false,74,32,0,false,false
xerces,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,397,32768,false,325,63,0,false,false
xerces,org.apache.xerces.impl.dv.xs.YearDV,109,32768,false,56,44,0,false,false
xerces,org.apache.xerces.impl.dv.xs.YearMonthDV,106,32768,false,57,40,0,false,false
xerces,org.apache.xerces.impl.dv.xs.YearMonthDurationDV,61,32768,false,31,21,0,false,false
xerces,org.apache.xerces.impl.io.ASCIIReader,99,32768,false,48,42,0,false,false
xerces,org.apache.xerces.impl.io.Latin1Reader,83,32768,false,49,25,0,false,false
xerces,org.apache.xerces.impl.io.MalformedByteSequenceException,56,32768,false,31,16,0,false,false
xerces,org.apache.xerces.impl.io.UCSReader,133,32768,false,48,76,0,false,false
xerces,org.apache.xerces.impl.io.UTF16Reader,157,32768,false,76,72,0,false,false
xerces,org.apache.xerces.impl.io.UTF8Reader,140,32768,false,74,57,0,false,false
xerces,org.apache.xerces.impl.msg.XMLMessageFormatter,57,32768,false,20,28,0,false,false
xerces,org.apache.xerces.impl.validation.ConfigurableValidationState,106,32768,false,70,27,0,false,false
xerces,org.apache.xerces.impl.validation.EntityState,31,32768,false,20,3,0,false,false
