subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,15,seed15_solution081,26.086956521739136,0.0761673273443989,0.6808118081180812,9.325220458553792,0.3529865459220699,9,0,9,True,False,False,False
daytrader,15,seed15_solution082,23.913043478260864,0.1075245562764668,0.6821955719557196,7.940740740740741,0.2184120170337778,9,0,8,True,False,False,False
daytrader,15,seed15_solution083,21.73913043478261,0.0661668465162511,0.6863468634686347,5.484353741496599,0.1848671503987304,7,0,10,True,False,False,False
daytrader,15,seed15_solution084,19.565217391304344,0.081258042169905,0.6928044280442804,11.284920634920637,0.3065674869673947,7,0,10,True,False,False,False
daytrader,15,seed15_solution085,19.565217391304344,0.0719089132773247,0.6955719557195572,16.070634920634923,0.2935160223793215,9,0,8,True,False,False,False
daytrader,15,seed15_solution086,23.913043478260864,0.0613296302474094,0.6992619926199262,7.216666666666668,0.1978884619188965,7,0,9,True,False,False,False
daytrader,15,seed15_solution087,23.913043478260864,0.0501803743821571,0.7061808118081181,8.887301587301586,0.2184120170337778,9,0,8,True,False,False,False
daytrader,15,seed15_solution088,21.73913043478261,0.0554321453615827,0.7144833948339483,16.55952380952381,0.2823892367376559,9,0,8,True,False,False,False
daytrader,15,seed15_solution089,19.565217391304344,0.0548732358287604,0.7190959409594095,9.42116402116402,0.2326193963384519,9,0,8,True,False,False,False
daytrader,15,seed15_solution090,23.913043478260864,0.0406874225568823,0.7260147601476015,9.054761904761904,0.169811320754717,10,0,7,True,False,False,False
daytrader,15,seed15_solution091,28.26086956521739,0.0529023723124684,0.7297047970479705,30.203262786596117,0.37924058947626,9,0,9,True,False,False,False
daytrader,15,seed15_solution092,17.391304347826086,0.0645182016857069,0.7310885608856088,17.853703703703708,0.2935160223793215,9,0,8,True,False,False,False
daytrader,15,seed15_solution093,15.217391304347828,0.058831451437208,0.7384686346863468,16.799999999999997,0.2708056621586287,9,0,8,True,False,False,False
daytrader,15,seed15_solution094,23.913043478260864,0.0531869332185018,0.7490774907749077,18.894179894179896,0.3145911698213786,9,0,8,True,False,False,False
