stage,focal_cluster_id,source_class,target_class,weight
stage2,C13,org.apache.xerces.impl.xs.XSDDescription,org.apache.xerces.util.XMLResourceIdentifierImpl,5
stage2,C13,org.apache.xerces.impl.xs.XSDDescription,org.apache.xerces.xni.QName,6
stage2,C13,org.apache.xerces.impl.xs.XSDDescription,org.apache.xerces.xni.XMLAttributes,3
stage2,C13,org.apache.xerces.impl.xs.XSDDescription,org.apache.xerces.xni.grammars.XMLSchemaDescription,5
stage2,C13,org.apache.xerces.impl.xs.XSDeclarationPool,org.apache.xerces.impl.xs.models.CMBuilder,2
stage2,C13,org.apache.xerces.impl.xs.XSElementDecl,org.apache.xerces.impl.xs.identity.IdentityConstraint,5
stage2,C13,org.apache.xerces.impl.xs.XSElementDecl,org.apache.xerces.xni.QName,1
stage2,C13,org.apache.xerces.impl.xs.XSElementDecl,org.apache.xerces.xs.ShortList,1
stage2,C13,org.apache.xerces.impl.xs.XSElementDecl,org.apache.xerces.xs.XSNamespaceItem,3
stage2,C13,org.apache.xerces.impl.xs.XSElementDecl,org.apache.xerces.xs.XSValue,1
stage2,C13,org.apache.xerces.impl.xs.XSElementDeclHelper,org.apache.xerces.xni.QName,1
stage2,C13,org.apache.xerces.impl.xs.XSGrammarBucket,org.apache.xerces.impl.xs.traversers.XSDHandler$XSAnnotationGrammarPool,6
stage2,C13,org.apache.xerces.impl.xs.XSGrammarBucket,org.apache.xerces.parsers.DOMASBuilderImpl,12
stage2,C13,org.apache.xerces.impl.xs.XSGroupDecl,org.apache.xerces.xs.XSNamespaceItem,3
stage2,C13,org.apache.xerces.impl.xs.XSImplementationImpl,org.apache.xerces.impl.xs.util.StringListImpl,4
