subject,class_id,stage3a_source_path,stage3a_text_hash,stage3b_declaration_hash,exact_match
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,data/semantic_inputs/daytrader_class_declarations.csv,8a52a7f6c1e9e8da7cae8cd162c74e475575194bbcf2ba88398274f666631d5b,8a52a7f6c1e9e8da7cae8cd162c74e475575194bbcf2ba88398274f666631d5b,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,data/semantic_inputs/daytrader_class_declarations.csv,f10472ed6aed19b4467a0a35a2aa3bdd56cd871b00c8e724bfce2026fc86d7a5,f10472ed6aed19b4467a0a35a2aa3bdd56cd871b00c8e724bfce2026fc86d7a5,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,data/semantic_inputs/daytrader_class_declarations.csv,42fefb8b53ecc2359f5423ab59cffee8913b55d5b0d00df1c0ce653deb24cc18,42fefb8b53ecc2359f5423ab59cffee8913b55d5b0d00df1c0ce653deb24cc18,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,data/semantic_inputs/daytrader_class_declarations.csv,a6d05df62b71da261fa4f3333e72b68393e336d74865b338eee45d0dfc077202,a6d05df62b71da261fa4f3333e72b68393e336d74865b338eee45d0dfc077202,true
xerces,org.apache.xerces.dom.ASDOMImplementationImpl,data/semantic_inputs/xerces-j_class_declarations.csv,7eb08569cb6c35d043be338c87f802c8a82fcdd8114e7d11658aa934cca9150d,7eb08569cb6c35d043be338c87f802c8a82fcdd8114e7d11658aa934cca9150d,true
xerces,org.apache.xerces.dom.ASModelImpl,data/semantic_inputs/xerces-j_class_declarations.csv,ca6058b24723802a65e47757a35fadf73fc14185b279f5cb25cdf6aa38b3f02f,ca6058b24723802a65e47757a35fadf73fc14185b279f5cb25cdf6aa38b3f02f,true
xerces,org.apache.xerces.dom.AttrImpl,data/semantic_inputs/xerces-j_class_declarations.csv,f304a71c2aa6e66bff48299c94b28538521f73199b44fce01d6c34f2ebc1dedf,f304a71c2aa6e66bff48299c94b28538521f73199b44fce01d6c34f2ebc1dedf,true
xerces,org.apache.xerces.dom.AttrNSImpl,data/semantic_inputs/xerces-j_class_declarations.csv,8c93ad3b01daf545ad180559bdf72bb26e2ad6cf4393aaa4c2f4eb3627b52ff9,8c93ad3b01daf545ad180559bdf72bb26e2ad6cf4393aaa4c2f4eb3627b52ff9,true
xerces,org.apache.xerces.dom.AttributeMap,data/semantic_inputs/xerces-j_class_declarations.csv,f8c72c64c0b1aa48147c849247a3da68b418ad60b3ad6d95c65f83cfa73347bb,f8c72c64c0b1aa48147c849247a3da68b418ad60b3ad6d95c65f83cfa73347bb,true
xerces,org.apache.xerces.dom.CDATASectionImpl,data/semantic_inputs/xerces-j_class_declarations.csv,2944b67e8504fc19387bba868babc7b140c5c1a6b469c1df65564c67366faa18,2944b67e8504fc19387bba868babc7b140c5c1a6b469c1df65564c67366faa18,true
xerces,org.apache.xerces.dom.CharacterDataImpl,data/semantic_inputs/xerces-j_class_declarations.csv,ff0367dfc1934a12ca4e927ad13e842901c04a5661c1067c27a6974c88f52a0c,ff0367dfc1934a12ca4e927ad13e842901c04a5661c1067c27a6974c88f52a0c,true
xerces,org.apache.xerces.dom.CharacterDataImpl$1,data/semantic_inputs/xerces-j_class_declarations.csv,e7ceb8aed12d83507ec1ee331d0d740b7c99f924386c42c8e80ae9ea72e7ac08,e7ceb8aed12d83507ec1ee331d0d740b7c99f924386c42c8e80ae9ea72e7ac08,true
xerces,org.apache.xerces.dom.ChildNode,data/semantic_inputs/xerces-j_class_declarations.csv,f2c7f4a273af34c0e898de56519219ad17ea72ee7d7957d9c524ad1d9a615349,f2c7f4a273af34c0e898de56519219ad17ea72ee7d7957d9c524ad1d9a615349,true
xerces,org.apache.xerces.dom.CommentImpl,data/semantic_inputs/xerces-j_class_declarations.csv,c419d2c7f9564311549e07592a606f27abe4d4efcfef3fa33612ab438a786d66,c419d2c7f9564311549e07592a606f27abe4d4efcfef3fa33612ab438a786d66,true
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl,data/semantic_inputs/xerces-j_class_declarations.csv,8a886053a4c55ca15251df711ec74d4a575606ec742d3431d4497f567de42cb8,8a886053a4c55ca15251df711ec74d4a575606ec742d3431d4497f567de42cb8,true
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,data/semantic_inputs/xerces-j_class_declarations.csv,d4c1e4d22cf69731eaf96bb474d6c3055764f5fa67d0815f60bf2f6026b080f5,d4c1e4d22cf69731eaf96bb474d6c3055764f5fa67d0815f60bf2f6026b080f5,true
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,data/semantic_inputs/xerces-j_class_declarations.csv,f263555e81ff266c1935394a4cb5cf4bba04abac097afd4a05c8449e6d071fc0,f263555e81ff266c1935394a4cb5cf4bba04abac097afd4a05c8449e6d071fc0,true
xerces,org.apache.xerces.dom.CoreDocumentImpl,data/semantic_inputs/xerces-j_class_declarations.csv,483a6d2dce2e7da493044c58f374672b70df9016f68c2cfd85419f3db10b7ce5,483a6d2dce2e7da493044c58f374672b70df9016f68c2cfd85419f3db10b7ce5,true
xerces,org.apache.xerces.dom.DOMConfigurationImpl,data/semantic_inputs/xerces-j_class_declarations.csv,7d3de21c1b788b836a70610108d8c66a8d04ad1576235e23afba0e2ad15e480e,7d3de21c1b788b836a70610108d8c66a8d04ad1576235e23afba0e2ad15e480e,true
xerces,org.apache.xerces.dom.DOMErrorImpl,data/semantic_inputs/xerces-j_class_declarations.csv,e0a4cf247e56a9ae4036cb9d7ef057e5fa45b1aeadf592277901558196803010,e0a4cf247e56a9ae4036cb9d7ef057e5fa45b1aeadf592277901558196803010,true
xerces,org.apache.xerces.dom.DOMImplementationImpl,data/semantic_inputs/xerces-j_class_declarations.csv,5fc1645321c508370122f899daf1eebe8117964647111db3c4bdc81b34879132,5fc1645321c508370122f899daf1eebe8117964647111db3c4bdc81b34879132,true
xerces,org.apache.xerces.dom.DOMImplementationListImpl,data/semantic_inputs/xerces-j_class_declarations.csv,fbceed31d274c88c801419d725f6940f6d2ac0e08ea0319cc50e5bbf3b26a042,fbceed31d274c88c801419d725f6940f6d2ac0e08ea0319cc50e5bbf3b26a042,true
