subject,class_id,body_token_count,invoked_method_token_count,field_token_count,local_token_count,exception_token_count,string_token_count,operation_token_count,invoked_method_proportion,field_proportion,string_proportion,embedding_shift_cosine_distance,neighbour_retention,stage3b_degree,neighbour_change,incident_stage3b_edge_count,incident_structural_overlap_count,incident_structural_overlap_ratio
xerces,org.apache.xerces.dom.DOMMessageFormatter,36,7,40,3,12,29,72,0.19444444444444445,1.1111111111111112,0.8055555555555556,0.19599267341899995,0.6666666666666666,4,0.33333333333333337,4,0,0.0
xerces,org.apache.xerces.dom.DOMNormalizer,197,88,654,161,0,104,1102,0.4467005076142132,3.3197969543147208,0.5279187817258884,0.14597994788000002,0.3333333333333333,4,0.6666666666666667,4,1,0.25
xerces,org.apache.xerces.dom.DOMNormalizer$1,3,2,0,0,0,0,1,0.6666666666666666,0.0,0.0,0.130365734204,1.0,4,0.0,4,0,0.0
xerces,org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,55,58,60,1,0,5,104,1.0545454545454545,1.0909090909090908,0.09090909090909091,0.10657777060600004,1.0,4,0.0,4,1,0.25
xerces,org.apache.xerces.dom.DOMOutputImpl,11,12,15,0,0,0,1,1.0909090909090908,1.3636363636363635,0.0,0.18986538287099997,0.6666666666666666,3,0.33333333333333337,3,0,0.0
xerces,org.apache.xerces.dom.DOMStringListImpl,13,7,7,0,0,0,14,0.5384615384615384,0.5384615384615384,0.0,0.21218912711399995,1.0,3,0.0,3,0,0.0
xerces,org.apache.xerces.dom.DOMXSImplementationSourceImpl,14,7,0,0,0,0,38,0.5,0.0,0.0,0.19112417628800005,0.6666666666666666,3,0.33333333333333337,3,3,1.0
xerces,org.apache.xerces.dom.DeepNodeListImpl,32,10,77,9,0,0,116,0.3125,2.40625,0.0,0.250104643568,1.0,3,0.0,3,0,0.0
xerces,org.apache.xerces.dom.DeferredAttrImpl,18,13,14,0,0,0,19,0.7222222222222222,0.7777777777777778,0.0,0.19581351012899995,0.6666666666666666,3,0.33333333333333337,3,0,0.0
xerces,org.apache.xerces.dom.DeferredAttrNSImpl,20,13,26,0,0,0,25,0.65,1.3,0.0,0.13411020349000002,1.0,3,0.0,3,0,0.0
xerces,org.apache.xerces.dom.DeferredCDATASectionImpl,13,10,7,0,0,0,5,0.7692307692307693,0.5384615384615384,0.0,0.11115772936599999,0.6666666666666666,4,0.33333333333333337,4,1,0.25
xerces,org.apache.xerces.dom.DeferredCommentImpl,13,10,7,0,0,0,5,0.7692307692307693,0.5384615384615384,0.0,0.14511610561699995,0.3333333333333333,5,0.6666666666666667,5,1,0.2
xerces,org.apache.xerces.dom.DeferredDOMImplementationImpl,7,2,2,0,0,0,3,0.2857142857142857,0.2857142857142857,0.0,0.18374272243400003,0.3333333333333333,3,0.6666666666666667,3,1,0.3333333333333333
xerces,org.apache.xerces.dom.DeferredDocumentImpl,138,298,653,37,78,0,729,2.1594202898550723,4.731884057971015,0.0,0.10697311638399998,0.6666666666666666,6,0.33333333333333337,6,5,0.8333333333333334
xerces,org.apache.xerces.dom.DeferredDocumentImpl$IntVector,21,12,14,0,0,0,10,0.5714285714285714,0.6666666666666666,0.0,0.20901427604400002,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
xerces,org.apache.xerces.dom.DeferredDocumentImpl$RefCount,1,0,0,0,0,0,1,0.0,0.0,0.0,0.23548975613199996,1.0,6,0.0,6,1,0.16666666666666666
