subject,seed,stage3a_projected_hv,stage3b_projected_hv,delta_hv_stage3b_minus_stage3a,stage3a_selected_f_semantic_on_stage3a,stage3a_selected_f_semantic_on_stage3b,stage3b_selected_f_semantic_on_stage3a,stage3b_selected_f_semantic_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3a,stage3a_selected_solution_id,stage3b_selected_solution_id,stage3a_selected_ari_vs_leiden,stage3a_selected_nmi_vs_leiden,stage3a_selected_equals_leiden,stage3b_selected_ari_vs_leiden,stage3b_selected_nmi_vs_leiden,stage3b_selected_equals_leiden,stage3a_vs_stage3b_selected_ari,stage3a_vs_stage3b_selected_nmi,stage3a_vs_stage3b_selected_partition_equal,stage3a_front_size,stage3b_front_size,stage3a_projected_front_size,stage3b_projected_front_size,reference_status
daytrader,16,0.17070578201410835373,0.217361293713350473,0.046655511699242119272,0.62798043543841131076,0.6139853143391245105,0.56454601982754515355,0.56870880469639772947,-0.045276509642726781024,-0.063434415610866157209,seed16_solution040,seed16_solution036,0.69671285727232312723,0.77452082684381229338,False,0.99711728748886030438,0.99348731543935531185,False,0.69439887004189970732,0.7663826962768097717,False,100,100,75,65,available
daytrader,17,0.21319399326584020926,0.19186461566851614746,-0.021329377597324061799,0.55712429570832600056,0.56256535196093704343,0.53487986089580585869,0.53629589846044334323,-0.026269453500493700204,-0.022244434812520141875,seed17_solution037,seed17_solution027,0.86625308869144634905,0.91683816601156198356,False,0.9243211358135182687,0.95431880001717084294,False,0.86181688052758043117,0.90237000431406011458,False,100,100,72,74,available
daytrader,18,0.18268558395694364793,0.18997751692470765672,0.0072919329677640087883,0.56454601982754515355,0.56870880469639772947,0.55685683790890005973,0.56236981717724643381,-0.0063389875191512956576,-0.0076891819186450938162,seed18_solution027,seed18_solution032,0.94455198119401084789,0.96945339696608534563,False,0.8669376253659478726,0.92201754603871921567,False,0.92354400713737216932,0.95220422557817208098,False,100,100,67,62,available
daytrader,19,0.16474432603500338557,0.16002328224632031417,-0.0047210437886830713961,0.64554348509582415439,0.66977865999694086163,0.60492123269936737273,0.60613760757314660843,-0.063641052423794253201,-0.040622252396456781653,seed19_solution037,seed19_solution031,0.76744602742694278952,0.85084121008850832624,False,0.93039027080272618253,0.94453729722024215576,False,0.71461862545341969799,0.80878911086794225138,False,100,100,78,67,available
daytrader,20,0.18485591507659407395,0.18174514375363262642,-0.0031107713229614475381,0.7101718707852104906,0.71274435528478541357,0.65810832323568435598,0.72120774195686698782,0.0084633866720815742468,-0.052063547549526134617,seed20_solution048,seed20_solution040,0.086779511680104531868,0.37377370660039305195,False,0.096638493963297183997,0.46819162917718099015,False,0.033153942235038327824,0.31857882963724948322,False,100,100,68,59,available
daytrader,21,0.17595316883236786221,0.18753734333891416974,0.011584174506546307537,0.54566860766791847048,0.53671238285432487647,0.59476246716832015249,0.60246773793424801546,0.065755355079923138995,0.049093859500401682006,seed21_solution027,seed21_solution034,0.8834296763278213227,0.92545157318626081189,False,0.83418495614393217696,0.88760110588624885342,False,0.72741321970056005419,0.80966829559215758305,False,100,100,69,70,available
daytrader,22,0.18636632667023481091,0.21764700627484545592,0.031280679604610645006,0.54804769596375690899,0.56093191610184378604,0.7834417533613238227,0.77501636233877224669,0.21408444623692846065,0.23539405739756691371,seed22_solution029,seed22_solution034,0.872863112055143886,0.92915262805357934361,False,0.082114917723226335533,0.41215975412548799817,False,0.059866962305986676229,0.38622727558744229803,False,100,100,66,71,available
daytrader,23,0.1730668423942536005,0.16871573356770225294,-0.0043511088265513475637,0.55740607326154489876,0.56175513225656747984,0.55765538266964398417,0.54840061217864399801,-0.013354520077923481836,0.00024930940809908541667,seed23_solution030,seed23_solution029,0.95253801861524312056,0.97099446758064511531,False,0.93578673106768184287,0.95782617140146297796,False,0.89181975192337881175,0.92631852047129126237,False,100,100,72,64,available
daytrader,24,0.18370690911202752771,0.21349539880499562861,0.029788489692968100897,0.52864943205278080995,0.54971487018599396457,0.63511866974052511026,0.63637908018089106577,0.086664209994897101197,0.1064692376877443003,seed24_solution031,seed24_solution038,0.81985432964661453248,0.8948948480544416384,False,0.79952054824266161059,0.86307675258903759907,False,0.61521277783983019383,0.75873677452563881296,False,100,100,71,73,available
daytrader,25,0.22550181137079144955,0.22098704280933423316,-0.0045147685614572163892,0.56966995313661739075,0.5621381717656004362,0.56454601982754515355,0.56052835612303653079,-0.0016098156425639054135,-0.0051239333090722372077,seed25_solution033,seed25_solution026,0.85375826481860450645,0.9144783390835650172,False,0.94716236342574844365,0.96046124161463530822,False,0.81342359767891680988,0.88287415312434869286,False,100,100,64,66,available
