class_id,input_hash,embedding_sha256
org.jfree.chart.axis.TickUnits,e9aa90bb204e72714c4d8672ec3b75ed003f9911a09532a925dddd3fc7ecc25d,a2c9ea0bba2f1544aa3ccb1d8d5ddc7d21d63f288e607b52b4721512a63ed755
org.jfree.chart.axis.Timeline,90d48db7c8ec26ed1b21f41c036a1c945605cb32e281b06776f0e71670447531,4ddd9ac76d643dd80ac348d5ac643bc4262f800ece4fed295d672cc65d238321
org.jfree.chart.axis.ValueAxis,9e7c7e9e0e9855951ff4540fa2dd0eca54b371b1e97427eab5745b8aedb5afdb,e6d72aabfbdc4f2fa220b7d4fba64a225d2c03fa0243d1ae2daf345048cc84d5
org.jfree.chart.axis.ValueTick,0fc321f5ce7e8e8e52efebae4de0ac58e86652e0f0013a09e1c4cc19ae860a37,1cfb3773223fa36c2a4b4eab4883bcb206a877da6959bb8e993716614c38b728
org.jfree.chart.block.AbstractBlock,8cd4752a67efd65890a534bd5cb684621a9db3e30488ddb058632be77c89bea6,1e2c006973395ccd3c03f56aa3d24c24307886503af9d4276fb695193b515b79
org.jfree.chart.block.Arrangement,2aa922ad7833f7f58aebaf4dae2c435c8f8cd3ac0f0943008c5b4fab7543362d,ceb2fa5746ddc5684e7280f7eda5e27de00a7a75ba9f4f18fdddae4ed97921e6
org.jfree.chart.block.Block,cb780d0c8144a09eeea7a2a74566c10b385282b800d77ce3d18049a64ef5c264,e314f91d772cfa097a521fb1fd11c3cf693abe2f4ba24c3610f38bde42ea2d01
org.jfree.chart.block.BlockBorder,b21b0264e606ff28e40b57b0430dcc0b4d1fff5ff650dd51c9d0c2137bb01e7d,7a1222c223c991f05db809a9c38f84466e6845208938c592ce06f5649c9904f7
org.jfree.chart.block.BlockContainer,fadd95c0c6e39bf8bbc145fa2ad822f4673c0a3571ea3739ba2aafd0733309a6,4c727052dfc583b7d48849867afaf94be4230ef719a32a0cc6c81a3d3cd45ac1
org.jfree.chart.block.BlockFrame,5c7ef6ddefeaa9c5946c23656acd45ceb12bb0de8233969d9ea2fee05c4c7404,f25ebac110a0b375f51216f0bb57fe5195ffa50a13b5be8f39e7adcc28daf417
org.jfree.chart.block.BlockParams,f17953c02155d7eacf70dd0a3959bd3521a00bf78f9f7ffae6e97301179e9d2f,9f78c4dd3f72abc6de683cbdf21860a2ee8e3f1aa964edbaafd1f26ebd75905f
org.jfree.chart.block.BlockResult,8fcbc9a33508475162750cf79ad367c657a374ca6bc21b90d1e62307a38eb556,b917740dde3bded434f8800dd65a2aa3f4bf0627a0599e469a1631e2ddb5d9e1
org.jfree.chart.block.BorderArrangement,1f4c398f44241359f412df5d999958e2d93baf0e795202a10c36cda505fcd4ec,343609b08fe519d59d16beddd8c65456e0f2de57f529fe2872d416237a441920
org.jfree.chart.block.CenterArrangement,48c04a4573f4968ee1bc0f25188cdd03b0c57e640649ba33b86db8f99fa18f2f,337f861ef35edde6fba8da8a96b4b2f0d2b9f9fb0f9abd1e92e736d7b09a7481
org.jfree.chart.block.ColorBlock,c869148ef237b772f898c5f2f91619f5739b77fd3cd56875fa3935dd89ea84f5,4c2eb4f0b8c7e31eddb47b1d7d6dea1d86cdbe9ff5f58a5060e9a93334c6ac2c
org.jfree.chart.block.ColumnArrangement,869836add60b7a59d8f4c496c583ffa59fe883aa8373be375377a2c078c2143c,6ebf0c2048125e69e3acb8192adfa9ac938e6fd3347db899be8e9dbfc2d52ead
org.jfree.chart.block.EmptyBlock,0535d28c70318625cdddcab89d96da6a59a990315bb855c6195abb9a8536af25,1e461eb0b9c5b91d84ab8bf9c8df0797fe31817386daef8f11b5154f01083e46
org.jfree.chart.block.EntityBlockParams,bd36da49d2dc952173b5b44ed4c9b419e54173f74bd49349f758c464ec56847e,30f87c5da81fd6d0549f489a4b2c70f7e311278648606465eefb60448c09bbe3
org.jfree.chart.block.EntityBlockResult,756afaf3c695a13d7aaaa357670058c32ba787eb94b19d40591772b7a458327e,2fe83101507da0abb62fb789d20641473162ba66e2698676fa444efe4113b86f
org.jfree.chart.block.FlowArrangement,5712587832a8b662c41d8108469e60035644e6b1f90973f15708fd50a24062f6,1c3ede357803abdbd312924c83e0ddf1091f0e073b4c48219dc529e21c830b0e
org.jfree.chart.block.GridArrangement,1508560185fe7d839373910be4c67b0f958f8710745225c99681e0c0e9710452,064f63173572e4b54c9caebe1cf644a6c96090351fa057ae07f04c9ebb00a56d
