stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage3,daytrader,conservative,pairwise_recall,available,30,0.18888888888888880069,0.1855555555555555014,0.034722222222222202948,0,-0.0033333333333333001539,0,0,0.0068518518518517999849,0
stage3,daytrader,conservative,pairwise_f1,available,30,0.17760533326264721365,0.17069929742966818975,0.023254914220883899506,5.9641356642076148731e-05,-0.0068463944763369000493,0,0,0.005251643312843499653,0
stage3,daytrader,conservative,ari_vs_reference,available,30,0.044542710605430399506,0.036094382029562298297,0.025076710789509199656,-0.0008152664076815999963,-0.0092635949835497000127,0,0,0.0064910256739958002367,0
stage3,daytrader,conservative,nmi_vs_reference,available,30,0.40086260587952221579,0.39000921301758267878,0.052934680042749301943,-0.02017448011853580081,-0.031027872980475299652,0,0,0.013925221502007199478,0
stage3,daytrader,conservative,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
stage3,daytrader,extreme_balance,mojofm_vs_reference,available,30,17.39130434782608603,17.826086956521738358,3.8043478260869521002,-6.5217391304347778203,-6.0869565217391254919,-6.5217391304347920311,-6.3768115942029002241,-5.7246376811594217315,-6.3768115942029020005
stage3,daytrader,extreme_balance,pairwise_precision,available,30,0.13574660633484159078,0.13684983867836150728,0.024301860004289899814,-0.031741078394222299597,-0.030637846050702400441,-0.028449843614441500117,-0.022826952642490301593,-0.018270122555817100429,-0.022826952642490398737
stage3,daytrader,extreme_balance,pairwise_recall,available,30,0.30277777777777781232,0.30722222222222211885,0.06527777777777769852,0.11388888888888890061,0.11833333333333330428,0.11944444444444439479,0.12166666666666660357,0.12851851851851839315,0.12166666666666650642
stage3,daytrader,extreme_balance,pairwise_f1,available,30,0.18272898029352768745,0.18801812983577459448,0.034909065490639601403,0.0051832883875224996378,0.010472437929769399731,0.009650099494526200028,0.017318832406106401262,0.02257047571894989918,0.017318832406106401262
stage3,daytrader,extreme_balance,ari_vs_reference,available,30,0.0075781595263921999045,0.010296204360029400163,0.042047628713383300436,-0.037779817486719796671,-0.035061772653082599882,-0.038657622947816598635,-0.025798177669532899869,-0.019307151995537001621,-0.025798177669532899869
