subject,seed,budget,source_stage,evaluation_graph,solution_id,f_semantic,semantic_improvement_vs_same_graph_leiden,evaluation_policy
jpetstore,12,0.050000000000000003,stage3a,stage3a,seed12_solution002,0.59797556839401389,0.0013528549009021232,post-hoc matched partition; no reselection
jpetstore,12,0.050000000000000003,stage3a,stage3b,seed12_solution002,0.55371060037167852,-0.080916968508788129,post-hoc matched partition; no reselection
jpetstore,12,0.10000000000000001,stage3a,stage3a,seed12_solution002,0.59797556839401389,0.0013528549009021232,post-hoc matched partition; no reselection
jpetstore,12,0.10000000000000001,stage3a,stage3b,seed12_solution002,0.55371060037167852,-0.080916968508788129,post-hoc matched partition; no reselection
jpetstore,12,0.14999999999999999,stage3a,stage3a,seed12_solution003,0.44566630463923795,0.25571644341565847,post-hoc matched partition; no reselection
jpetstore,12,0.14999999999999999,stage3a,stage3b,seed12_solution003,0.41178058121417005,0.19614936532182425,post-hoc matched partition; no reselection
jpetstore,12,0.20000000000000001,stage3a,stage3a,seed12_solution011,0.426746481360744,0.28731343249263996,post-hoc matched partition; no reselection
jpetstore,12,0.20000000000000001,stage3a,stage3b,seed12_solution011,0.42747031654248502,0.16552090862187391,post-hoc matched partition; no reselection
jpetstore,13,0,stage3a,stage3a,seed13_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,13,0,stage3a,stage3b,seed13_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,13,0.0050000000000000001,stage3a,stage3a,seed13_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,13,0.0050000000000000001,stage3a,stage3b,seed13_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,13,0.01,stage3a,stage3a,seed13_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,13,0.01,stage3a,stage3b,seed13_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,13,0.025000000000000001,stage3a,stage3a,seed13_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,13,0.025000000000000001,stage3a,stage3b,seed13_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
