row_index,class_id,class_name,input_hash
135,org.apache.xerces.impl.XMLEntityManager$ByteBufferPool,XMLEntityManager$ByteBufferPool,583d0949e2be6847e77d06660d3945d76facd841b9ddefe3f2921ed5119a5294
136,org.apache.xerces.impl.XMLEntityManager$CharacterBuffer,XMLEntityManager$CharacterBuffer,249a00830b65d104b60849450f681fb24fbb8dbbe66f718230438a88dd4a2f97
137,org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool,XMLEntityManager$CharacterBufferPool,1530bcf714aa734e0c409b4122922af493fd02919c5ff89dd14041d81818bcd1
138,org.apache.xerces.impl.XMLEntityManager$EncodingInfo,XMLEntityManager$EncodingInfo,0d6c04add0bd64b5f8c1a257eb775f56626e802bdb7de92a109f6ad8ea20c8ff
139,org.apache.xerces.impl.XMLEntityManager$Entity,XMLEntityManager$Entity,f13620f7e9dfe9a132c987d5a6d6961fe075c409fbfcd2fd1df2face6aa953d4
140,org.apache.xerces.impl.XMLEntityManager$ExternalEntity,XMLEntityManager$ExternalEntity,c794e58387a68bd2f76a2a2bc84cc7ff37cfadc5244b76bc6dd075eb835632ae
141,org.apache.xerces.impl.XMLEntityManager$InternalEntity,XMLEntityManager$InternalEntity,266d4ad4e96abfd9fd8e84ee53dca540e14d433f845c6d330c00cec21bc7bfef
142,org.apache.xerces.impl.XMLEntityManager$RewindableInputStream,XMLEntityManager$RewindableInputStream,37bf94f2b788e569ee7987130af39d22bf13dde027c8a9b9511450b5603bba2f
143,org.apache.xerces.impl.XMLEntityManager$ScannedEntity,XMLEntityManager$ScannedEntity,52070b85c225809a8a8ae03abc29278327957758b1cf2479242cdddf69cdb236
144,org.apache.xerces.impl.XMLEntityScanner,XMLEntityScanner,bc114c2b89585b1e3ee038ba2abd14427abb37f733d1ba0ab3fea733b6b195ae
145,org.apache.xerces.impl.XMLEntityScanner$1,XMLEntityScanner$1,a27ee9083c0ab4e79d8559fd05b3884a4cdae5614df00c6dfbf08e781f34423c
146,org.apache.xerces.impl.XMLErrorReporter,XMLErrorReporter,4fd569982aba544eada06ab0abb00cf6dab2d9984222465349e7c13126bb00cf
147,org.apache.xerces.impl.XMLErrorReporter$1,XMLErrorReporter$1,e3337665b21dddb51967203bdcae367d4541b3ba04a104d58ed5f6cbb512cf07
148,org.apache.xerces.impl.XMLNSDocumentScannerImpl,XMLNSDocumentScannerImpl,b5f1569686e9f74fc9b12c4da4366ef7c92b1c447c4e16558e1ea94cd21b43da
149,org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher,XMLNSDocumentScannerImpl$NSContentDispatcher,52c01ac635bdcc92a82de8485e8b9d2922d251ce15dd3c648ab90ddf8e9ef9f3
150,org.apache.xerces.impl.XMLNamespaceBinder,XMLNamespaceBinder,1caedf13c4e2e708b3503897c665fc60ee82dd7b845017d8ff04e2ef9a8c100c
151,org.apache.xerces.impl.XMLScanner,XMLScanner,81a4c4d478735403d8f0aebae8793311a9b3865dd9457d180910bd989232b35e
152,org.apache.xerces.impl.XMLVersionDetector,XMLVersionDetector,0d46e6ce7dcc46f9520bc77f6aa1747ddfe517b44d5b5a0de39cf13407067ec0
153,org.apache.xerces.impl.dtd.BalancedDTDGrammar,BalancedDTDGrammar,0448b346ac16c6cffff91402378f945f81d80cce413a52e33582ecc2df9c7b18
154,org.apache.xerces.impl.dtd.DTDGrammar,DTDGrammar,b8a40edd360a454171426386c28a08527a6e0e7214ef954df3e90eb787e7eaf0
155,org.apache.xerces.impl.dtd.DTDGrammar$ChildrenList,DTDGrammar$ChildrenList,4b57838e46a3a09964ad9f8a8e63c14e7be5555f965994c9c0d9380c046a2c38
156,org.apache.xerces.impl.dtd.DTDGrammar$QNameHashtable,DTDGrammar$QNameHashtable,80a23d08060a7309c7fec1345deadfc8550871426f6dac2090e0e22fe3907fa5
157,org.apache.xerces.impl.dtd.DTDGrammar$QNameHashtable$PrimeNumberSequenceGenerator,DTDGrammar$QNameHashtable$PrimeNumberSequenceGenerator,289be1acd4a3c691308e917a9d4a6c3272e123d5f92ab7f7e0fbba5d9b16d033
158,org.apache.xerces.impl.dtd.DTDGrammarBucket,DTDGrammarBucket,7219b3dde4c192975752ca2512ea91a7c64dd95fa60a084ea3b5ad0fe0525d1c
159,org.apache.xerces.impl.dtd.XML11DTDProcessor,XML11DTDProcessor,62e31e2aead87f3ca990c06da85cab3d34b7c5da4c8b1ee91715ccd9231e0948
160,org.apache.xerces.impl.dtd.XML11DTDValidator,XML11DTDValidator,9079c3e7bbd09c35fb9335d8b47aaef62667fbcea7b4455411ed811570199f87
161,org.apache.xerces.impl.dtd.XML11NSDTDValidator,XML11NSDTDValidator,2268fd8a56c6a9a2bb26b75715ad6b9c57c40c7acf8c170d2ffb42a131652b6a
162,org.apache.xerces.impl.dtd.XMLAttributeDecl,XMLAttributeDecl,49a3a780708fe9f98da1b4bf404dcc07d54afbdc30233e2434d9a24abd77072d
163,org.apache.xerces.impl.dtd.XMLContentSpec,XMLContentSpec,338cec77bdc8695a5e88565a95b4e7e3aa2eeab8e2d34f70d483a62ac30d08c9
164,org.apache.xerces.impl.dtd.XMLContentSpec$Provider,XMLContentSpec$Provider,066e9dd7aebb19a97a4b65f46a8b6dba2805e3a4b154db6058cd4e80fab5b915
165,org.apache.xerces.impl.dtd.XMLDTDDescription,XMLDTDDescription,d11e6073e377ce45bd52771af57606533c9f2d35163298734fa848c10c3e3d20
166,org.apache.xerces.impl.dtd.XMLDTDLoader,XMLDTDLoader,47a1113ceb3047d8fc71f50590b0e1da7fbdd40ff693da58aa6589c0cc276ea3
167,org.apache.xerces.impl.dtd.XMLDTDProcessor,XMLDTDProcessor,efe405001cabb18abcd08e9a71f51d072a1773d210ae46af844e4b1a30062b92
168,org.apache.xerces.impl.dtd.XMLDTDValidator,XMLDTDValidator,11a1308311ad9d3b8a208675c9e98895382dd35fa38b017ba2508e41741ff400
