summary,stage,subject,budget,field,saved,recomputed,match,target,profile,profile_family,metric,reference
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,max_gain,0.4226497308103741,0.4226497308103741,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,positive_count,7,7,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,at_least_5pct_count,7,7,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,at_least_10pct_count,7,7,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,at_least_20pct_count,7,7,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,at_least_30pct_count,7,7,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,median_realised_modularity_loss,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,mean_realised_modularity_loss,0.00075621231867560004,0.00075621231867568342,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,max_realised_modularity_loss,0.0032409099371815001,0.0032409099371815001,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,median_coupling,0.25185185185185183,0.25185185185185183,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,median_cohesion,5.477380952380952,5.477380952380952,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,median_cluster_count,4,4,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,median_singleton_ratio,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.01,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.01,eligible_seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.01,availability_rate,1,1,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.01,unavailable_seed_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.01,median_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.01,mean_gain,0.098618270522420601,0.098618270522420629,True,,,,,
